I,A,NAME,First Names,S,NATION,Nan,PEOPLE,date,month,year,ROUTE,NOTE,EXP,LEADER,
46,47,CARSOLIO,Carlos,Nan,Mex,12,Nan,13,7,1985,Rupal Face SE Pillar,Nan,Pl,Paweł Mularz,
47,48,CZERWIŃSKA,Anna,f,Pl,Nan,2,15,7,1985,Kinshofer (variant 1),Nan,Pl,Dobrosława Wolf (f),
48,49,PALMOWSKA,Krystyna,f,Pl,Nan,Nan,15,7,1985,Kinshofer (variant 1),Nan,Pl,Dobrosława Wolf (f),
49,50,RUTKIEWICZ,Wanda,f,Pl,Nan,Nan,15,7,1985,Kinshofer (variant 1),Nan,Pl,Dobrosława Wolf (f),
50,51,DE STEFANI,Fausto,Nan,It,Nan,Nan,15,8,1986,Kinshofer (variant 1),Nan,It,Almo Giambisi,
51,52,MARTINI,Sergio,Nan,It,Nan,Nan,15,8,1986,Kinshofer (variant 1),It,Almo Giambisi,Nan,
52,53,GARCÍA,Moisés,Nan,E,Nan,Valencia,15,8,1986,Kinshofer (variant 1),E,Miguel Gómez,Nan,
53,54,GÓMEZ,Miguel,Nan,E,Nan,Catalan,15,8,1986,Kinshofer (variant 1),E,Miguel Gómez,Nan,
54,55,VIDAURRE,Rafael,Nan,E,Nan,Valencia,15,8,1986,Kinshofer (variant 1),E,Miguel Gómez,Nan,
55,56,LANTERS,Hans,Nan,NL,Nan,Nan,16,8,1986,Kinshofer (variant 1),NL/Bel/Lux,Jan Vanhees (Bel),Nan,
56,57,VANHEES,Jan,Nan,Bel,13,Nan,16,8,1986,Kinshofer (variant 1),NL/Bel/Lux,Jan Vanhees (Bel),Nan,
57,58,VIVIJS,Lutgaarde,f,Bel,Nan,3,16,8,1986,Kinshofer (variant 1),NL/Bel/Lux,Jan Vanhees (Bel),Nan,
58,59,CALCAGNO,Giovanni,Nan,It,Nan,Nan,5,7,1987,Kinshofer (variant 1),It,Agostino Da Polenza,Nan,
59,60,DOROTEI,Soro,Nan,It,Nan,Nan,5,7,1987,Kinshofer (variant 1),It,Agostino Da Polenza,Nan,
60,61,VIDONI,Tullio,Nan,It,Nan,Nan,5,7,1987,Kinshofer (variant 1),It,Agostino Da Polenza,Nan,
61,62,CHAMOUX,Benoît,Nan,F,Nan,Nan,5,7,1987,Kinshofer (variant 1),It,Agostino Da Polenza,Nan,
