A,I,NAME,FIRST NAMES,S,R,O,NATION,NO/m,NO/f,PEOPLE,D,M,Y,ROUTE,NOTE,EXPEDITION,LEADER
1,1,COMPAGNONI,Achille,,,,It,1,,,31.,07.,1954,SE Ridge (Abruzzi Spur),,Italian,Ardito Desio
2,2,LACEDELLI,Lino,,,,It,,,,31.,07.,1954,SE Ridge (Abruzzi Spur),,Italian,Ardito Desio
3,3,NAKAMURA,Shoji,,,,Jp,2,,,08.,08.,1977,SE Ridge (Abruzzi Spur),,Japanese,Ichiro Yoshizawa
4,4,SHIGEHIRO,Tsuneo,,,,Jp,,,,08.,08.,1977,SE Ridge (Abruzzi Spur),,Japanese,Ichiro Yoshizawa
5,5,TAKATSUKA,Takayoshi,,,,Jp,,,,08.,08.,1977,SE Ridge (Abruzzi Spur),,Japanese,Ichiro Yoshizawa
6,6,AMAN,Ashraf,,,,Pak,3,,,09.,08.,1977,SE Ridge (Abruzzi Spur),,Japanese,Ichiro Yoshizawa
7,7,HIROSHIMA,Mitsuo,,,,Jp,,,,09.,08.,1977,SE Ridge (Abruzzi Spur),,Japanese,Ichiro Yoshizawa
8,8,ONODERA,Masahide,,,,Jp,,,,09.,08.,1977,SE Ridge (Abruzzi Spur),,Japanese,Ichiro Yoshizawa
9,9,YAMAMOTO,Hideo,,,,Jp,,,,09.,08.,1977,SE Ridge (Abruzzi Spur),,Japanese,Ichiro Yoshizawa
10,10,REICHARDT,Louis F.,,,x,USA,4,,,06.,09.,1978,NE Ridge - Abruzzi Spur,,American,Jim Whittaker
11,11,WICKWIRE,James,,,,USA,,,,06.,09.,1978,NE Ridge - Abruzzi Spur,,American,Jim Whittaker
12,12,RIDGEWAY,Richard,,,,USA,,,,07.,09.,1978,NE Ridge - Abruzzi Spur,,American,Jim Whittaker
13,13,ROSKELLEY,John,,,x,USA,,,,07.,09.,1978,NE Ridge - Abruzzi Spur,,American,Jim Whittaker
14,14,DACHER,Michael,,,x,Ger,5,,,12.,07.,1979,SE Ridge (Abruzzi Spur),,International,Reinhold Messner (It)
15,15,MESSNER,Reinhold,,,x,It,,,South Tirolean,12.,07.,1979,SE Ridge (Abruzzi Spur),,International,Reinhold Messner (It)
16,16,OHTANI,Eiho,,,,Jp,,,,07.,08.,1981,West Ridge/SW side,,Japanese,Teruoh Matsuura
17,17,SABIR,Nazir Ahmad,,,,Pak,,,,07.,08.,1981,West Ridge/SW side,,Japanese,Teruoh Matsuura
18,18,SAKASHITA,Naoé,,,x,Jp,,,,14.,08.,1982,North Ridge,,Japanese,Isao Shinkai
19,19,YANAGISAWA,Yukihiro,,,x,Jp,,,,14.,08.,1982,North Ridge,died on descent,Japanese,Isao Shinkai
20,20,YOSHINO,Hiroshi,,,x,Jp,,,,14.,08.,1982,North Ridge,,Japanese,Isao Shinkai
21,21,KAMURO,Hironobu,,,x,Jp,,,,15.,08.,1982,North Ridge,,Japanese,Isao Shinkai
22,22,KAWAMURA,Haruichi,,,x,Jp,,,,15.,08.,1982,North Ridge,,Japanese,Isao Shinkai
23,23,SHIGENO,Tatsuji,,,x,Jp,,,,15.,08.,1982,North Ridge,,Japanese,Isao Shinkai
24,24,TAKAMI,Kazushige,,,x,Jp,,,,15.,08.,1982,North Ridge,,Japanese,Isao Shinkai
