GÜRTLER,Klaus,A,Tyrol,13.,05.,1988,N Ridge - C Peak - W Ridge,
KONZERT,Peter,A,,13.,05.,1988,N Ridge - C Peak - W Ridge,
KULLMANN,Bernd,GER,Baden-Württ.,14.,05.,1988,NE Face - Chinese traverse,
METZGER,Adolf,GER,,14.,05.,1988,NE Face - Chinese traverse,
OG,Herta,GER,f,14.,05.,1988,NE Face - Chinese traverse,
SCHUHMANN,Klaus,GER,,14.,05.,1988,NE Face - Chinese traverse,
BÄRNTHALER,Hans,A,Styria,17.,05.,1988,NE Face - Chinese traverse,
HOCHHOLZER,Thomas,GER,,17.,05.,1988,NE Face - Chinese traverse,
KUNZENDORF,Wolfgang,GER,,17.,05.,1988,NE Face - Chinese traverse,
SCHÜTZ,Jürgen,GER,,17.,05.,1988,NE Face - Chinese traverse,
THOMANN,Dieter,GER,,17.,05.,1988,NE Face - Chinese traverse,
BÉRHAULT,Patrick,F,,05.,09.,1988,NE Face - Chinese traverse,
DE STEFANI,Fausto,ITA,,05.,09.,1988,NE Face - Chinese traverse,
MARTINI,Sergio,ITA,,05.,09.,1988,NE Face - Chinese traverse,
DAIDOLA,Giorgio,ITA,,06.,09.,1988,NE Face - Chinese traverse,
GIVOIS,Didier,F,,06.,09.,1988,NE Face - Chinese traverse,
NEGRI,Pino,ITA,,06.,09.,1988,NE Face - Chinese traverse,
SAEGUSA,Teruo,JAP,,24.,10.,1988,NE Face - Chinese traverse,
YAMADA,Noboru,JAP,,24.,10.,1988,NE Face - Chinese traverse,
YAMAMOTO,Atsushi,JAP,,24.,10.,1988,NE Face - Chinese traverse,
SUZUKI,Kiyohiko,JAP,,16.,04.,1989,NE Face - Chinese traverse,
TAKAMURA,Sinji,JAP,,16.,04.,1989,NE Face - Chinese traverse,

TSUJI,Yoshiyuki,JAP,,16.,04.,1989,NE Face - Chinese traverse,
KOZJEK,Pavle,SLO,,19.,10.,1989,"SW Face, Central Buttress",
ŠTREMFELJ,Andrej,SLO,,19.,10.,1989,"SW Face, Central Buttress",
BENCE,Filip (Ta črn),SLO,,20.,10.,1989,SW Face (Right Part) - SE Ridge,
GROŠELJ,Viktor (Viki),SLO,,20.,10.,1989,SW Face (Right Part) - SE Ridge,
FRIES,Elmar,GER,,12.,05.,1990,NE Face - Chinese traverse,
NEUHAUSER,Johann,A,,12.,05.,1990,NE Face - Chinese traverse,
EXPÓSITO,Pedro,E,Aragonese,13.,10.,1990,NE Face - Chinese traverse,
GAN,Francisco (Curro),E,Catalan,13.,10.,1990,NE Face - Chinese traverse,
MARTÍNEZ,Joan,E,Catalan,13.,10.,1990,NE Face - Chinese traverse,
PÉREZ,Francisco,E,Andalusian,13.,10.,1990,NE Face - Chinese traverse,
SANTAEUFEMIA,Roberto,E,Galician,13.,10.,1990,NE Face - Chinese traverse,
VIDAL,Miguel Ángel,E,Castilian (L),13.,10.,1990,NE Face - Chinese traverse,
DÖRRICH,Ottilie,GER,f,20.,05.,1991,NE Face - Chinese traverse,
FRITSCHE,Theo,A,Vorarlberg,20.,05.,1991,NE Face - Chinese traverse,
HÄRTER,Günther,GER,,20.,05.,1991,NE Face - Chinese traverse,
HECHER,Kurt,A,Carinthia,20.,05.,1991,NE Face - Chinese traverse,
PORSCHE,Dieter Albin,GER,Baden-Württ.,20.,05.,1991,NE Face - Chinese traverse,
SCHNUTT,Herwig,A,Styria,20.,05.,1991,NE Face - Chinese traverse,
KIM,Chang-Seon,SK,,08.,10.,1991,"SW Face, Central Couloir",
KIM,Jae-Soo,SK,,08.,10.,1991,"SW Face, Central Couloir",
CADIACH,Òscar,E,Catalan,04.,10.,1993,"SW Face, Central Couloir",
DE LA MATTA,Manel,E,Catalan,04.,10.,1993,"SW Face, Central Couloir",
MAUDUIT,Chantal,F,f,04.,10.,1993,"SW Face, Central Couloir",
BIANCHI,Marco,ITA,,06.,10.,1993,SW Face (Right Part) - SE Ridge,
PUSTELNIK,Piotr Czeslaw (Pusty),POL,,06.,10.,1993,SW Face (Right Part) - SE Ridge,
WIELICKI,Krzysztof,POL,,07.,10.,1993,"SW Face, Right Hand Couloir",
AKBU (AKEBU),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
DACHUNG (DAQIONG),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
DAQIMI (DA CHIMYI),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
JIABU (GYALBU),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,2
LUOZE (LODUE),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
PEMBA TASHI (BIANBA ZAXI) I,,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
RENA (REN NA),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
TSERING DORJE I (CERIN DUOJI),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
WANGJIA (WANGYAL),,CHN,Tibetan,07.,05.,1994,N Ridge - C Peak - W Ridge,
KIRSCHMER,Jakob,GER,,28.,05.,1994,N Ridge - C Peak - W Ridge,
KEKUS,Nikola,UK,English,04.,10.,1994,N Ridge - C Peak - W Ridge,
LORETAN,Erhard,CH,,29.,04.,1995,N Ridge - C Peak - W Ridge,
RATTEIT,Rodja,GER,,12.,05.,1995,N Ridge - C Peak - W Ridge,
KOTRONAROS,Panagiotis,GRE,,13.,05.,1995,N Ridge - C Peak - W Ridge,
SONAM DENDU (SONA DENDU),,NEP,Sherpa,13.,05.,1995,N Ridge - C Peak - W Ridge,
JOOS,Norbert (Noppa),CH,,01.,05.,1996,N Ridge - C Peak - W Ridge,
SLUKA,Štefan,SLK,,01.,05.,1996,NE Face - Chinese traverse,

ŠPERKA,Peter,SLK,,01.,05.,1996,NE Face - Chinese traverse,
HASLER,Bruno,CH,,21.,05.,1996,NE Face - Chinese traverse,
ZINSLI,Christian,CH,Graubünden,21.,05.,1996,NE Face - Chinese traverse,
GUGGEMOS,Peter,GER,Bayern,30.,05.,1996,NE Face - Chinese traverse,
SCHNEIDER,Manuel,GER,,30.,05.,1996,NE Face - Chinese traverse,
BEREZIARTUA,Jesús (Josu),E,Basque (G),11.,10.,1996,"SW Face, Central Couloir",
IÑURRATEGI,Alberto,E,Basque (G),11.,10.,1996,"SW Face, Central Couloir",
IÑURRATEGI,Félix,E,Basque (G),11.,10.,1996,"SW Face, Central Couloir",
BRILL,Peter,GER,,24.,05.,1997,NE Face - Chinese traverse,
DUJMOVITS,Ralf,GER,Baden-Württ.,24.,05.,1997,NE Face - Chinese traverse,1
HUB,Karl,GER,,24.,05.,1997,NE Face - Chinese traverse,
NEUHUBER,Alois,A,Upper Austria,24.,05.,1997,NE Face - Chinese traverse,
OSTERBAUER,Gerhard,A,Vienna,24.,05.,1997,NE Face - Chinese traverse,
PRASICEK,Franz,A,Lower Austria,24.,05.,1997,NE Face - Chinese traverse,
ANDRES,Stefan,ITA,South Tyrolean,06.,05.,1998,NE Face - Chinese traverse,
KUNTNER,Christian,ITA,South Tyrolean,06.,05.,1998,NE Face - Chinese traverse,
BLANC,Abele,ITA,Aostan,14.,05.,1998,N Ridge - C Peak - W Ridge,
CAMANDONA,Marco,ITA,,14.,05.,1998,N Ridge - C Peak - W Ridge,
NICLEVICZ,Waldemar,BRA,,14.,05.,1998,N Ridge - C Peak - W Ridge,
OIARZABAL,Juan Eusebio (Juanito),E,Basque (A),10.,10.,1998,"SW Face, Central Couloir",
STANGL,Christian,A,Styria,10.,10.,1998,"SW Face, Central Couloir",
KEREJETA,Ignacio (Iñaki),E,Basque (A),11.,10.,1998,"SW Face, Central Couloir",
BENET,Romano,ITA,,12.,05.,1999,NE Face - Chinese traverse,
MEROI,Nives,ITA,f,12.,05.,1999,NE Face - Chinese traverse,
FUKUMOTO,Masashi,JAP,,29.,10.,1999,NE Face - Chinese traverse,
GOTO,Fumiaki,JAP,,29.,10.,1999,NE Face - Chinese traverse,
HOSHINO,Ryushi,JAP,,29.,10.,1999,NE Face - Chinese traverse,
KENMOCHI,Noriyuki,JAP,,29.,10.,1999,NE Face - Chinese traverse,1
NAZUKA,Hideji,JAP,,29.,10.,1999,NE Face - Chinese traverse,
KHADEM,Davoud,IRN,,28.,05.,2000,N Ridge - C Peak - W Ridge,
MEHDIZADEH,Akbar,IRN,,28.,05.,2000,N Ridge - C Peak - W Ridge,
ORAZ,Mohammad,IRN,,28.,05.,2000,N Ridge - C Peak - W Ridge,
KANG,Seong-Gyu,SK,,02.,10.,2000,"SW Face, Central Couloir",
OH,Hee-Jun,SK,,02.,10.,2000,"SW Face, Central Couloir",
PARK,Young-Seok,SK,,02.,10.,2000,"SW Face, Central Couloir",
SHERAP JANGBU (SERAP JANGBU),,NEP,Sherpa,02.,10.,2000,"SW Face, Central Couloir",
KWON,Soon-Jae,SK,,05.,10.,2000,"SW Face, Central Couloir",
LEE,Gin-Kun,SK,,05.,10.,2000,"SW Face, Central Couloir",
LEE,Hyun-Jo,SK,,05.,10.,2000,"SW Face, Central Couloir",
BOSKOFF (b FELD),Christine Joyce,USA,f,10.,10.,2000,"SW Face, Central Couloir",
FOWLER,Charles (Charlie),USA,,10.,10.,2000,"SW Face, Central Couloir",
GUSTAFSSON,Veikka,SF,,30.,04.,2001,N Ridge - C Peak - W Ridge,
VIESTURS,Edmund (Ed),USA,,30.,04.,2001,N Ridge - C Peak - W Ridge,
ANG BABU (JIMBA ZANGBU),,NEP,Sherpa,21.,09.,2001,"SW Face, Central Couloir",

HAN,Wang-Yong,SK,,21.,09.,2001,"SW Face, Central Couloir"
KIM,Joo-Hyung,SK,,21.,09.,2001,"SW Face, Central Couloir"
KOO,Eun-Soo,SK,,21.,09.,2001,"SW Face, Central Couloir"
PARK,Mu-Taek,SK,,21.,09.,2001,"SW Face, Central Couloir"
RA,Kwan-Ju,SK,,21.,09.,2001,"SW Face, Central Couloir"
UM,Hong-Gil,SK,,21.,09.,2001,"SW Face, Central Couloir"
KIM,Woong-Sik,SK,,22.,09.,2001,"SW Face, Central Couloir"
MINGMA I,,NEP,Sherpa,22.,09.,2001,"SW Face, Central Couloir"
GEX,Nicolas,CH,,24.,09.,2001,"SW Face, Central Couloir"
REICHEN,Jakob (Köbi),CH,,24.,09.,2001,"SW Face, Central Couloir"
RODUIT,Olivier,CH,,24.,09.,2001,"SW Face, Central Couloir"
WARNER,Christopher Bernard (Chris),USA,,24.,09.,2001,"SW Face, Central Couloir"
KHOO,Swee-Chiow,SIN,,28.,09.,2001,"SW Face, Central Couloir"
SHAW,Christopher,USA,,28.,09.,2001,"SW Face, Central Couloir"
KANG,Yeon-Ryong,SK,,05.,05.,2002,"SW Face, West Central Buttress"
PARK,Jung-Hun,SK,,05.,05.,2002,"SW Face, West Central Buttress"
BOGOMOLOV,Sergei,RUS,,24.,05.,2002,NE Face - Lower traverse - E Ridge
OLEYNIK,Vladimir,RUS,,24.,05.,2002,NE Face - Lower traverse - E Ridge
HUMAR,Tomaž,SLO,,25.,10.,2002,N Ridge - C Peak - W Ridge
PIVTSOV,Vassili (Vaso),KAZ,,25.,10.,2002,N Ridge - C Peak - W Ridge
RASPOPOV,Aleksei,KAZ,,25.,10.,2002,N Ridge - C Peak - W Ridge
URUBKO,Denis,KAZ,,25.,10.,2002,N Ridge - C Peak - W Ridge
ZHUMAYEV,Maksut (Max),KAZ,,25.,10.,2002,N Ridge - C Peak - W Ridge
BRILL,Richard,GER,,08.,05.,2004,NE Face - Chinese traverse
BRUNI,Hans,CH,,08.,05.,2004,NE Face - Chinese traverse
DUBACH,Hanspeter,CH,,08.,05.,2004,NE Face - Chinese traverse
GOLTZ,Uwe Johannes (Gianni),CH,,08.,05.,2004,NE Face - Chinese traverse
ROTH,Hanspeter,CH,,08.,05.,2004,NE Face - Chinese traverse
ABEGGLEN,Andreas,CH,,14.,05.,2004,NE Face - Chinese traverse
GÜRTLER,Paul,A,Tyrol,14.,05.,2004,NE Face - Chinese traverse
JACOMET,Ervin,CH,,14.,05.,2004,NE Face - Chinese traverse
KAUFMANN,Johann,CH,,14.,05.,2004,NE Face - Chinese traverse
KECK,Stephan,A,Tyrol,14.,05.,2004,NE Face - Chinese traverse
VON ROTZ,Josef (Sepp),CH,,14.,05.,2004,NE Face - Chinese traverse
EMMENEGGER,Patrik Klaus,CH,,16.,05.,2004,NE Face - Chinese traverse
FALCH,Josef,A,Tirol,16.,05.,2004,NE Face - Chinese traverse
FELDER,Josef (Sepp),A,Vorarlberg,16.,05.,2004,NE Face - Chinese traverse
FURGER,Karl,CH,,16.,05.,2004,NE Face - Chinese traverse
LESKAUSKAS,Mindaugas,LIT,,16.,05.,2004,NE Face - Chinese traverse
MITENJEN (MINGMA),,NEP,Sherpa,16.,05.,2004,NE Face - Chinese traverse
NGIMA DORCHI,,NEP,Sherpa,16.,05.,2004,NE Face - Chinese traverse
NGIMA THENDUK,,NEP,Sherpa,16.,05.,2004,NE Face - Chinese traverse
SUTTERLÜTY,Martin (Prinz),A,Vorarlberg,16.,05.,2004,NE Face - Chinese traverse
VALLOTON,Josette,CH,f,16.,05.,2004,NE Face - Chinese traverse

HRUBÝ,Zdeněk,CZE,,,09.,10.,2004,"SW Face, Central Couloir",
JAROŠ,Radek,CZE,,,09.,10.,2004,"SW Face, Central Couloir",
MAŠEK,Petr (Miska),CZE,,,09.,10.,2004,"SW Face, Central Couloir",
MINAŘÍK,Martin,CZE,,,09.,10.,2004,"SW Face, Central Couloir",
RIBAS,Oriol,AND,,,10.,10.,2004,"SW Face, Central Couloir",
ROSELL,Ramón,AND,,,10.,10.,2004,"SW Face, Central Couloir",
SAGASTE,Santiago,E,Aragonese,,10.,10.,2004,"SW Face, Central Couloir",
VALLEJO,Iván,ECU,,,10.,10.,2004,"SW Face, Central Couloir",
LAFAILLE,Jean-Christophe,F,,,11.,12.,2004,"SW Face, Right Hand to Central Couloir",
MORAWSKI,Piotr,POL,,,14.,01.,2005,SW Face (Right Part) - SE Ridge,
MORO,Simone,ITA,,,14.,01.,2005,SW Face (Right Part) - SE Ridge,
GÖSCHL,Gerfried,A,Styria,,03.,05.,2005,NE Face - Chinese traverse,
DUJMOVITS,Ralf,GER,Baden-Württ.,,07.,05.,2005,"SW Face, Central Couloir",2
KALTENBRUNNER,Gerlinde,A,Upper Austria,f,07.,05.,2005,"SW Face, Central Couloir",
TAKEUCHI,Hirotaka,JAP,,,07.,05.,2005,"SW Face, Central Couloir",
BRUN,Nicolas,F,,,04.,10.,2005,"SW Face, Central Couloir",
EGOCHEAGA,Jorge,E,Asturian,,04.,10.,2005,"SW Face, Central Couloir",
LATORRE,Fernando (Ferrán),E,Catalan,,04.,10.,2005,"SW Face, Central Couloir",
TAMAYO,José Carlos,E,Basque (B),,04.,10.,2005,"SW Face, Central Couloir",
URBAN,Jean-Noël,F,,,04.,10.,2005,"SW Face, Central Couloir",
