,NAME,FIRST NAMES,TRIBE,NAT.,D,M,Y,ROUTE,CAUSE,*
1,MUMMERY,Albert Frederick,,UK,24.,08.,1895,Rakhiot Flank (Diama Glacier),Disappearance,
2,RAGHOBIR THAPA,,Gurkha,NEP,24.,08.,1895,Rakhiot Flank (Diama Glacier),Disappearance,
3,GOMAN SINGH,,Gurkha,NEP,24.,08.,1895,Rakhiot Flank (Diama Glacier),Disappearance,
4,DREXEL,Alfred,,GER,08.,06.,1934,Rakhiot Flank (NE Ridge),Pneumonia,
5,NIMA NURBU,,Sherpa,IND,09.,07.,1934,Rakhiot Flank (Silver Plateau),Exposure,
6,WIELAND,Ulrich (Uli),,GER,09.,07.,1934,Rakhiot flank (above Camp VII),Exposure,
7,NIMA DORJE,,Sherpa,IND,10.,07.,1934,Rakhiot flank (above Camp V),Exposure,
8,NIMA TASHI,,Sherpa,IND,10.,07.,1934,Rakhiot flank (above Camp V),Exposure,
9,PINJU NORBU,,Sherpa,IND,10.,07.,1934,Rakhiot flank (at Camp V),Exposure,
10,DAKSHI,,Sherpa,IND,11.,07.,1934,Rakhiot Flank (Silver Plateau),Exposure,
11,WELZENBACH,Wilhelm (Willo),,GER,12.,07.,1934,Rakhiot Flank (at Camp VII),Exposure,
12,MERKL,Willy,,GER,15-17.,07.,1934,Rakhiot Flank (at Moor's Head ),Exposure,
13,"GYALI (""GAY-LAY"")",,Sherpa,IND,15-17.,07.,1934,Rakhiot Flank (at Moor's Head ),Exposure,
14,FANKHAUSER,Rupert (Pert),,A,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
15,GÖTTNER,Adolf,,GER,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
16,HARTMANN,Hans,,GER,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
17,HEPP,Günther,,GER,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
18,MÜLLRITTER,Peter,,GER,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
19,PFEFFER,Martin,,GER,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
20,WIEN,Karl,,GER,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
21,PASANG NORBU,,Sherpa,IND,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
22,CHONG KARMA,,Sherpa,IND,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
23,KARMI,,Sherpa,IND,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
24,GYALGEN MONJO,,Sherpa,IND,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
25,MINGMA TSERING,,Sherpa,IND,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
26,NIMA TSERING (a),,Sherpa,IND,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
27,NIMA TSERING (b),,Sherpa,IND,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
28,ANG TSERING,,Sherpa,IND,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
29,TIGMAY (JIGMEY),,Sherpa,IND,15.,06.,1937,Rakhiot Flank (NE Ridge),Avalanche,
30,THORNLEY,John W.,,UK,04.,12.,1950,Rakhiot Flank (Rakhiot Glacier),"Disappearance, Exposure?",
31,CRACE,William H.,,UK,04.,12.,1950,Rakhiot Flank (Rakhiot Glacier),"Disappearance, Exposure?",
32,LÖW,Siegfried (Sigi),,GER,23.,06.,1962,Kinshofer Route (Diamir Flank),Fall,x
33,MESSNER,Günther,Tyrolean,ITA,29.,07.,1970,Diamir Face,Disappearance (probably avalanche),x
34,NÄBI MANTAS,,Hunza,PAK,08.,07.,1971,Rakhiot Flank (Rakhiot Glacier),Fall,
35,ARNOLD,Sebastian (Wastl),,A,26.,09.,1976,Schell Route (Rupal Face),Fall,
36,BOGEL,George,,USA,31.,07.,1977,Diamir Face,Avalanche,
37,BROUGHTON,Robert,,USA,31.,07.,1977,Diamir Face,Avalanche,

38,NOORI,Matloob Hassan,,PAK,late,04.,1982,Diamir Face,,Fall into crevasse,
39,FORRER,Peter,,CH,04.,06.,1982,Schell Route (Rupal Face),,Avalanche,
40,SHEIKH,Ali,,PAK,07.,06.,1982,SE Spur (Rupal Face),,Fall,
41,HILTBRAND,Peter,,CH,08.,06.,1982,Schell Route (Rupal Face),,Pulmonary edema,
42,SIMURA,Kazuoh,,JAP,17.,06.,1983,Schell Route (Rupal Face),,Avalanche,
43,TAKAMORI,Yuichiro,,JAP,12.,07.,1983,Schell Route,"(Camp I, Rupal Flank)",Avalanche,
44,IIDA,Satoshi,,JAP,12.,07.,1983,Schell Route,"(Camp I, Rupal Flank)",Avalanche,
45,YAMADA,Nobuyoshi,,JAP,12.,07.,1983,Schell Route,"(Camp I, Rupal Flank)",Avalanche,
46,TSUNODA,Fuji,,JAP,?07.,07.,1984,South Spur (Rupal Face),,Avalanche ?,
47,HIDA,Shigeoh,,JAP,?07.,07.,1984,South Spur (Rupal Face),,Avalanche ?,
