D,M,Y53,Y56,Y60,Y63,Y65,Y70,Y73,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y00,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,SUM
20.,08.,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
28.,08.,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
30.,08.,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
08.,09.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4
15.,09.,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
24.,09.,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
25.,09.,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4
26.,09.,,,,,,,,2,,,,,,,,,,,,,12,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,20
28.,09.,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5
29.,09.,,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7
30.,09.,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
01.,10.,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7
02.,10.,,,,,,,,,,,,8,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
03.,10.,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,5
04.,10.,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,10
05.,10.,,,,,,,,,,,,,,,3,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
06.,10.,,,,,,,,,,,,,,,,,,,,,,,6,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,17
07.,10.,,,,,,,,,,,,,,,3,,,,,,,,14,2,1,11,,,,,,,4,,,,,,,,,,,,,,,,,,35

08.,10.,,,,,,,,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
09.,10.,,,,,,,,,,,,,,,3,,,,,,,,,11,13,,,,,,,3,,,,,,,,,,,,,,,,,,30
10.,10.,,,,,,,,,,,,,,,,,,,,,,,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,8
11.,10.,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,9
13.,10.,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
14.,10.,,,,,,,,,,3,,,,,,,,,,6,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,18
15.,10.,,,,,,,,,,4,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,14
16.,10.,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
17.,10.,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5
18.,10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,14
20.,10.,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21.,10.,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
23.,10.,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
24.,10.,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
26.,10.,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
30.,10.,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
16.,12.,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
18.,12.,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
20.,12.,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
22.,12.,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4
27.,12.,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,2,4,3,6,9,4,10,15,4,2,25,18,10,5,18,23,16,30,4,2,50,24,72,38,90,129,51,83,95,85,121,118,145,182,159,267,337,307,493,632,427,462,543,537,558,667,128,0,647,648,8305
,2,6,9,15,24,28,38,53,57,59,84,102,112,117,135,158,174,204,208,210,260,284,356,394,484,613,664,747,842,927,1048,1166,1311,1493,1652,1919,2256,2563,3056,3688,4115,4577,5120,5657,6215,6882,7010,7010,7657,8305,
© Eberhard Jurgalski for 8000ers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
